,Opponent,Points_Against,Position,Team,Week,Year,Season_Ave,Season_STD
0,@IND,35.50,QB,Detroit Lions Defense,1,2016,18.9775,9.830611554191924
0,@NO,31.42,QB,Oakland Raiders Defense,1,2016,17.405,8.35319540831003
0,@KC,28.02,QB,Los Angeles Chargers Defense,1,2016,16.155,7.159565382800009
0,DET,26.10,QB,Indianapolis Colts Defense,1,2016,17.69,8.643188409513757
0,TB,25.54,QB,Atlanta Falcons Defense,1,2016,19.08125,9.153822891525254
0,@ATL,24.36,QB,Tampa Bay Buccaneers Defense,1,2016,16.3025,9.332470828494772
0,GB,23.56,QB,Jacksonville Jaguars Defense,1,2016,15.21125,6.357343137247343
0,OAK,22.36,QB,New Orleans Saints Defense,1,2016,18.26875,7.26641164780073
0,PIT,21.80,QB,Washington Redskins Defense,1,2016,16.601249999999997,7.000641147108473
0,CAR,21.16,QB,Denver Broncos Defense,1,2016,12.12,6.023229786320918
0,@PHI,19.22,QB,Cleveland Browns Defense,1,2016,19.401249999999997,6.739629069911786
0,@ARI,18.94,QB,New England Patriots Defense,1,2016,15.626249999999999,7.785380341307901
0,NYG,18.28,QB,Dallas Cowboys Defense,1,2016,16.53375,7.411415082790315
0,CIN,17.34,QB,New York Jets Defense,1,2016,17.1175,8.875689037046811
0,@TEN,16.74,QB,Minnesota Vikings Defense,1,2016,14.80625,7.863652234845348
0,@HOU,16.64,QB,Chicago Bears Defense,1,2016,17.01375,7.716291016986304
0,MIA,15.14,QB,Seattle Seahawks Defense,1,2016,14.35375,6.575907228843252
0,@NYJ,15.06,QB,Cincinnati Bengals Defense,1,2016,15.85625,7.670326705213141
0,@JAX,15.00,QB,Green Bay Packers Defense,1,2016,17.688750000000002,8.700457053579223
0,LAC,14.62,QB,Kansas City Chiefs Defense,1,2016,15.506250000000001,10.127281877942083
0,NE,14.06,QB,Arizona Cardinals Defense,1,2016,15.775,9.212195561255934
0,@SF,13.50,QB,Los Angeles Rams Defense,1,2016,17.682499999999997,8.382066816582116
0,@BAL,12.02,QB,Buffalo Bills Defense,1,2016,15.7875,8.349998414934687
0,@SEA,11.92,QB,Miami Dolphins Defense,1,2016,18.6525,10.325249462874407
0,CHI,11.84,QB,Houston Texans Defense,1,2016,13.9725,6.3750063437108
0,@DAL,10.28,QB,New York Giants Defense,1,2016,12.47875,4.423807915200234
0,MIN,10.24,QB,Tennessee Titans Defense,1,2016,18.495,8.248045044665039
0,@WAS,9.96,QB,Pittsburgh Steelers Defense,1,2016,14.62125,5.127092112436811
0,CLE,9.30,QB,Philadelphia Eagles Defense,1,2016,15.17875,7.790843230055018
0,@DEN,9.12,QB,Carolina Panthers Defense,1,2016,16.63375,8.962049233885532
0,BUF,5.54,QB,Baltimore Ravens Defense,1,2016,15.48,7.745479706406372
0,LA,2.20,QB,San Francisco 49ers Defense,1,2016,17.426250000000003,8.98272918045578
0,@CAR,29.82,QB,San Francisco 49ers Defense,2,2016,17.426250000000003,8.98272918045578
0,ATL,27.84,QB,Oakland Raiders Defense,2,2016,17.405,8.35319540831003
0,@NE,26.16,QB,Miami Dolphins Defense,2,2016,18.6525,10.325249462874407
0,@BUF,24.98,QB,New York Jets Defense,2,2016,17.1175,8.875689037046811
