,Game_Count,Points_Against,Position,Team_Against,VS,Week,Year,Home_Away
0,1,31.02,QB,NE,KC,1,2017,Home
0,1,27.08,QB,ARI,DET,1,2017,Away
0,1,25.54,QB,NO,MIN,1,2017,Away
0,1,22.66,QB,LAC,DEN,1,2017,Away
0,1,18.88,QB,WSH,PHI,1,2017,Home
0,1,18.84,QB,OAK,TEN,1,2017,Away
0,1,18.76,QB,NYJ,BUF,1,2017,Away
0,1,18.68,QB,TEN,OAK,1,2017,Home
0,1,18.58,QB,PIT,CLE,1,2017,Away
0,1,17.94,QB,CHI,ATL,1,2017,Home
0,1,17.68,QB,DEN,LAC,1,2017,Home
0,1,17.12,QB,NYG,DAL,1,2017,Away
0,1,16.54,QB,SEA,GB,1,2017,Away
0,1,16.22,QB,IND,LA,1,2017,Away
0,1,15.72,QB,CLE,PIT,1,2017,Home
0,1,15.64,QB,MIN,NO,1,2017,Home
0,1,13.14,QB,SF,CAR,1,2017,Home
0,1,12.52,QB,ATL,CHI,1,2017,Away
0,1,10.68,QB,KC,NE,1,2017,Away
0,1,10.60,QB,PHI,WAS,1,2017,Away
0,1,10.30,QB,HOU,JAX,1,2017,Home
0,1,9.48,QB,BUF,NYJ,1,2017,Home
0,1,8.92,QB,DET,ARI,1,2017,Home
0,1,8.32,QB,GB,SEA,1,2017,Home
0,1,6.84,QB,CIN,BAL,1,2017,Home
0,1,6.70,QB,DAL,NYG,1,2017,Home
0,1,4.16,QB,JAX,HOU,1,2017,Away
0,1,3.36,QB,LAR,IND,1,2017,Home
0,1,3.22,QB,CAR,SF,1,2017,Away
0,0,0.00,QB,MIA,Bye,1,2017,Home
0,0,0.00,QB,TB,Bye,1,2017,Home
0,1,-3.00,QB,BAL,CIN,1,2017,Away
0,1,30.78,QB,NO,NE,2,2017,Home
0,1,24.82,QB,KC,PHI,2,2017,Home
0,1,22.64,QB,DAL,DEN,2,2017,Away
0,1,22.24,QB,NE,NO,2,2017,Away
0,1,21.20,QB,NYJ,OAK,2,2017,Away
0,1,18.52,QB,ATL,GB,2,2017,Home
0,1,17.70,QB,CIN,HOU,2,2017,Home
0,1,17.52,QB,MIN,PIT,2,2017,Away
0,1,17.24,QB,MIA,LAC,2,2017,Away
0,1,16.14,QB,PHI,KC,2,2017,Away
0,1,15.92,QB,DEN,DAL,2,2017,Home
0,1,15.88,QB,IND,ARI,2,2017,Home
0,1,15.74,QB,OAK,NYJ,2,2017,Home
0,1,15.32,QB,SF,SEA,2,2017,Away
0,1,14.88,QB,GB,ATL,2,2017,Away
0,1,14.58,QB,CLE,BAL,2,2017,Away
0,1,13.18,QB,NYG,DET,2,2017,Home
0,1,13.10,QB,LAC,MIA,2,2017,Home
0,1,13.00,QB,JAX,TEN,2,2017,Home
0,1,12.26,QB,CHI,TB,2,2017,Away
0,1,11.86,QB,LAR,WAS,2,2017,Home
0,1,11.82,QB,BUF,CAR,2,2017,Away
0,1,11.56,QB,DET,NYG,2,2017,Away
0,1,10.86,QB,WSH,LA,2,2017,Away
0,1,10.50,QB,CAR,BUF,2,2017,Home
0,1,10.04,QB,TB,CHI,2,2017,Home
0,1,9.82,QB,TEN,JAX,2,2017,Away
0,1,9.46,QB,HOU,CIN,2,2017,Away
0,1,9.10,QB,BAL,CLE,2,2017,Home
0,1,8.84,QB,ARI,IND,2,2017,Away
0,1,6.68,QB,PIT,MIN,2,2017,Home
0,1,1.96,QB,SEA,SF,2,2017,Home
0,1,49.10,RB,NE,KC,1,2017,Home
0,1,32.50,RB,KC,NE,1,2017,Away
0,1,29.90,RB,ATL,CHI,1,2017,Away
0,1,27.80,RB,NYJ,BUF,1,2017,Away
0,1,24.80,RB,CIN,BAL,1,2017,Home
0,1,23.70,RB,HOU,JAX,1,2017,Home
0,1,23.30,RB,IND,LA,1,2017,Away
0,1,20.80,RB,SF,CAR,1,2017,Home
0,1,18.00,RB,NO,MIN,1,2017,Away
0,1,17.70,RB,DET,ARI,1,2017,Home
0,1,16.70,RB,DEN,LAC,1,2017,Home
0,1,16.20,RB,SEA,GB,1,2017,Away
0,1,16.10,RB,WSH,PHI,1,2017,Home
0,1,16.00,RB,LAR,IND,1,2017,Home
0,1,15.70,RB,CHI,ATL,1,2017,Home
0,1,14.90,RB,ARI,DET,1,2017,Away
0,1,14.60,RB,PHI,WAS,1,2017,Away
0,1,14.20,RB,TEN,OAK,1,2017,Home
0,1,14.10,RB,NYG,DAL,1,2017,Away
0,1,12.90,RB,MIN,NO,1,2017,Home
0,1,12.70,RB,BAL,CIN,1,2017,Away
0,1,12.60,RB,JAX,HOU,1,2017,Away
0,1,12.20,RB,PIT,CLE,1,2017,Away
0,1,10.80,RB,LAC,DEN,1,2017,Away
0,1,10.50,RB,CAR,SF,1,2017,Away
0,1,8.90,RB,DAL,NYG,1,2017,Home
0,1,8.50,RB,OAK,TEN,1,2017,Away
0,1,7.50,RB,BUF,NYJ,1,2017,Home
0,1,6.30,RB,GB,SEA,1,2017,Home
0,1,5.80,RB,CLE,PIT,1,2017,Home
0,0,0.00,RB,TB,Bye,1,2017,Home
0,0,0.00,RB,MIA,Bye,1,2017,Home
0,1,37.10,RB,LAR,WAS,2,2017,Home
0,1,36.00,RB,NO,NE,2,2017,Home
0,1,32.60,RB,DAL,DEN,2,2017,Away
0,1,32.50,RB,GB,ATL,2,2017,Away
0,1,31.30,RB,NYJ,OAK,2,2017,Away
0,1,28.80,RB,CLE,BAL,2,2017,Away
0,1,24.30,RB,ATL,GB,2,2017,Home
0,1,24.30,RB,JAX,TEN,2,2017,Home
0,1,23.20,RB,WSH,LA,2,2017,Away
0,1,22.90,RB,PHI,KC,2,2017,Away
0,1,18.20,RB,TEN,JAX,2,2017,Away
0,1,18.10,RB,SEA,SF,2,2017,Home
0,1,16.90,RB,CHI,TB,2,2017,Away
0,1,16.90,RB,MIA,LAC,2,2017,Away
0,1,15.60,RB,PIT,MIN,2,2017,Home
0,1,15.60,RB,NE,NO,2,2017,Away
0,1,14.30,RB,CIN,HOU,2,2017,Home
0,1,14.00,RB,OAK,NYJ,2,2017,Home
0,1,13.30,RB,ARI,IND,2,2017,Away
0,1,13.20,RB,NYG,DET,2,2017,Home
0,1,12.60,RB,SF,SEA,2,2017,Away
0,1,12.30,RB,LAC,MIA,2,2017,Home
0,1,11.70,RB,BAL,CLE,2,2017,Home
0,1,10.10,RB,MIN,PIT,2,2017,Away
0,1,9.70,RB,DET,NYG,2,2017,Away
0,1,8.90,RB,IND,ARI,2,2017,Home
0,1,8.60,RB,HOU,CIN,2,2017,Away
0,1,8.40,RB,BUF,CAR,2,2017,Away
0,1,5.90,RB,KC,PHI,2,2017,Home
0,1,5.50,RB,TB,CHI,2,2017,Home
0,1,5.00,RB,CAR,BUF,2,2017,Home
0,1,3.00,RB,DEN,DAL,2,2017,Home
0,1,43.20,WR,ARI,DET,1,2017,Away
0,1,39.20,WR,NO,MIN,1,2017,Away
0,1,29.10,WR,TEN,OAK,1,2017,Home
0,1,28.00,WR,NE,KC,1,2017,Home
0,1,27.10,WR,SEA,GB,1,2017,Away
0,1,25.20,WR,DEN,LAC,1,2017,Home
0,1,24.50,WR,IND,LA,1,2017,Away
0,1,23.40,WR,WSH,PHI,1,2017,Home
0,1,23.40,WR,LAC,DEN,1,2017,Away
0,1,21.90,WR,DET,ARI,1,2017,Home
0,1,21.30,WR,KC,NE,1,2017,Away
0,1,20.70,WR,CLE,PIT,1,2017,Home
0,1,17.30,WR,NYG,DAL,1,2017,Away
0,1,16.80,WR,MIN,NO,1,2017,Home
0,1,16.40,WR,OAK,TEN,1,2017,Away
0,1,15.80,WR,SF,CAR,1,2017,Home
0,1,15.80,WR,PIT,CLE,1,2017,Away
0,1,14.90,WR,CHI,ATL,1,2017,Home
0,1,14.30,WR,NYJ,BUF,1,2017,Away
0,1,13.20,WR,PHI,WAS,1,2017,Away
0,1,13.10,WR,CIN,BAL,1,2017,Home
0,1,12.70,WR,GB,SEA,1,2017,Home
0,1,11.70,WR,CAR,SF,1,2017,Away
0,1,11.50,WR,JAX,HOU,1,2017,Away
0,1,11.40,WR,DAL,NYG,1,2017,Home
0,1,10.90,WR,BAL,CIN,1,2017,Away
0,1,9.10,WR,LAR,IND,1,2017,Home
0,1,9.10,WR,BUF,NYJ,1,2017,Home
0,1,8.20,WR,ATL,CHI,1,2017,Away
0,1,7.10,WR,HOU,JAX,1,2017,Home
0,0,0.00,WR,MIA,Bye,1,2017,Home
0,0,0.00,WR,TB,Bye,1,2017,Home
0,1,41.60,WR,NYJ,OAK,2,2017,Away
0,1,33.90,WR,MIN,PIT,2,2017,Away
0,1,31.90,WR,KC,PHI,2,2017,Home
0,1,31.80,WR,IND,ARI,2,2017,Home
0,1,28.30,WR,DAL,DEN,2,2017,Away
0,1,27.10,WR,NE,NO,2,2017,Away
0,1,26.40,WR,TB,CHI,2,2017,Home
0,1,26.20,WR,ATL,GB,2,2017,Home
0,1,25.60,WR,NO,NE,2,2017,Home
0,1,25.30,WR,LAC,MIA,2,2017,Home
