,Away,Home,Week,Year
0,NE,KC,1,2017
0,BUF,NYJ,1,2017
0,WSH,PHI,1,2017
0,TEN,OAK,1,2017
0,HOU,JAX,1,2017
0,DET,ARI,1,2017
0,CLE,PIT,1,2017
0,CHI,ATL,1,2017
0,CIN,BAL,1,2017
0,LAR,IND,1,2017
0,SF,CAR,1,2017
0,GB,SEA,1,2017
0,DAL,NYG,1,2017
0,MIN,NO,1,2017
0,DEN,LAC,1,2017
0,CIN,HOU,2,2017
0,BAL,CLE,2,2017
0,TB,CHI,2,2017
0,PIT,MIN,2,2017
0,NO,NE,2,2017
0,KC,PHI,2,2017
0,JAX,TEN,2,2017
0,IND,ARI,2,2017
0,CAR,BUF,2,2017
0,OAK,NYJ,2,2017
0,LAC,MIA,2,2017
0,SEA,SF,2,2017
0,LAR,WSH,2,2017
0,DEN,DAL,2,2017
0,ATL,GB,2,2017
0,NYG,DET,2,2017
0,SF,LAR,3,2017
0,JAX,BAL,3,2017
0,IND,CLE,3,2017
0,PHI,NYG,3,2017
0,NYJ,MIA,3,2017
0,BUF,DEN,3,2017
0,CAR,NO,3,2017
0,CHI,PIT,3,2017
0,DET,ATL,3,2017
0,MIN,TB,3,2017
0,NE,HOU,3,2017
0,TEN,SEA,3,2017
0,GB,CIN,3,2017
0,LAC,KC,3,2017
0,WSH,OAK,3,2017
0,ARI,DAL,3,2017
0,GB,CHI,4,2017
0,MIA,NO,4,2017
0,HOU,TEN,4,2017
0,NYJ,JAX,4,2017
0,NE,CAR,4,2017
0,MIN,DET,4,2017
0,ATL,BUF,4,2017
0,BAL,PIT,4,2017
0,CLE,CIN,4,2017
0,DAL,LAR,4,2017
0,LAC,PHI,4,2017
0,TB,NYG,4,2017
0,ARI,SF,4,2017
0,DEN,OAK,4,2017
0,SEA,IND,4,2017
0,KC,WSH,4,2017
0,TB,NE,5,2017
0,CLE,NYJ,5,2017
0,DET,CAR,5,2017
0,IND,SF,5,2017
0,MIA,TEN,5,2017
0,CIN,BUF,5,2017
0,NYG,LAC,5,2017
0,PIT,JAX,5,2017
0,PHI,ARI,5,2017
0,LAR,SEA,5,2017
0,OAK,BAL,5,2017
0,DAL,GB,5,2017
0,HOU,KC,5,2017
0,CHI,MIN,5,2017
0,CAR,PHI,6,2017
0,BAL,CHI,6,2017
0,HOU,CLE,6,2017
0,MIN,GB,6,2017
0,NO,DET,6,2017
0,ATL,MIA,6,2017
0,NYJ,NE,6,2017
0,WSH,SF,6,2017
0,ARI,TB,6,2017
0,JAX,LAR,6,2017
0,KC,PIT,6,2017
0,OAK,LAC,6,2017
0,DEN,NYG,6,2017
0,TEN,IND,6,2017
0,OAK,KC,7,2017
0,BUF,TB,7,2017
0,PIT,CIN,7,2017
0,MIN,BAL,7,2017
0,MIA,NYJ,7,2017
0,LAR,ARI,7,2017
0,CHI,CAR,7,2017
0,CLE,TEN,7,2017
0,GB,NO,7,2017
0,IND,JAX,7,2017
0,SF,DAL,7,2017
0,NYG,SEA,7,2017
0,LAC,DEN,7,2017
0,NE,ATL,7,2017
0,PHI,WSH,7,2017
0,BAL,MIA,8,2017
0,CLE,MIN,8,2017
0,NYJ,ATL,8,2017
0,TB,CAR,8,2017
0,PHI,SF,8,2017
0,NO,CHI,8,2017
0,NE,LAC,8,2017
0,BUF,OAK,8,2017
0,CIN,IND,8,2017
0,SEA,HOU,8,2017
0,WSH,DAL,8,2017
0,DET,PIT,8,2017
0,KC,DEN,8,2017
0,NYJ,BUF,9,2017
